Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_bin
31388,03FrsymZUDrFC3aBVrvKA1,MEDUZA;James Carter;Elley Duhé;FAST BOY,Ballermann Hits Party 2023,Bad Memories,0,148629,False,0.607,0.767,5,-6.069,0,0.0474,0.118,0.0,0.122,0.662,123.998,3,electro,low
36239,3LKJLzyN8PlBhHKzuhFs8B,Casseurs Flowters,Orelsan et Gringe sont les Casseurs Flowters,03h53 - Manger c'est tricher,39,264306,False,0.604,0.805,6,-6.917,0,0.823,0.406,0.0,0.658,0.237,83.346,1,french,medium
23027,0XDo1WmF8c70NuTZcMP2FH,Robin Schulz;David Guetta,WORKOUT MOTIVATION,On Repeat,0,190217,False,0.609,0.801,1,-8.483,0,0.0694,0.0246,0.00255,0.37,0.202,122.958,4,deep-house,low
42742,4FvWUOEGtwu9hALWzTEikD,Sore Throat,Unhindered By Talent,Alcoholics Unanimous,11,92293,False,0.214,0.707,4,-8.642,1,0.0349,9.06e-05,0.436,0.12,0.105,93.341,4,grindcore,low
61611,54rgh6P4Ab6HchnWl7GC4w,AKB48,AKB48 15th Anniversary Single PLAYLIST I,言い訳Maybe,21,251400,False,0.346,0.998,7,-1.532,1,0.194,0.00121,0.0512,0.17,0.0651,159.979,4,j-idol,low
37530,2enk2whIgJyoe0O9HRQZJV,Avine Vinny;Jorge,Seu Beijo Joga Sujo,Seu Beijo Joga Sujo,49,193424,False,0.377,0.608,0,-4.446,1,0.0313,0.226,0.0,0.119,0.703,100.006,4,funk,medium
24446,1rMc6JsBrfyLx2wgZGofcK,Theo Parrish,Wuddaji,Radar Detector,8,377286,False,0.798,0.753,1,-7.878,1,0.119,0.0253,0.934,0.106,0.492,121.764,4,detroit-techno,low
15662,4T2UFptnPrq5O4PTNU7e6h,Sky McCreery,just to break my heart,just to break my heart,62,152727,False,0.651,0.205,9,-10.572,1,0.0465,0.719,0.000832,0.122,0.123,110.016,4,chill,high
56631,70f79vumNbmlDjuE3oOgPu,salem ilese;TOMORROW X TOGETHER;Alan Walker,(MORE) Unsponsored Content,PS5,30,152214,False,0.594,0.668,2,-5.357,0,0.257,0.0129,7.2e-06,0.0696,0.51,175.893,4,indie-pop,medium
53676,6dm9WLQPqe2kp5wS3DlD1n,Dillon Francis;ILLENIUM;EVAN GIIA,EDM Gaming Music Autumn/Winter 2022,Don't Let Me Let Go,1,205479,False,0.488,0.715,9,-4.656,1,0.0562,0.0367,0.0,0.122,0.397,145.979,4,house,low
21969,79Km41FyeeQsT3l1Lik4lM,Kyodi,Pleasure,Pleasure [Fuck Again],25,149845,True,0.663,0.706,11,-4.761,0,0.338,0.611,0.0,0.111,0.45,130.309,5,dancehall,medium
41117,0RPpZrP4e0OwfAFdrUj9eQ,Tommy Tip;Roffe Ruff,Bootlegs,Solen Försvann,32,231520,False,0.756,0.697,11,-3.588,1,0.319,0.545,0.0,0.761,0.968,82.473,4,goth,medium
42683,1MfSho5QSHYxSAZ2nxZFDt,Carcass,Surgical Steel (Complete Edition),Thrasher's Abattoir,15,110426,False,0.148,0.998,6,-3.958,1,0.232,3.1e-06,0.184,0.184,0.0615,197.312,4,grindcore,low
60248,78RpJHtLl1B7fInF740oYP,Tommy Lee Sparta;Chronic Law,Transition,Judgement Day,25,172173,False,0.479,0.59,2,-7.014,1,0.0923,0.306,0.0,0.335,0.156,123.993,5,j-dance,medium
61667,43LaedC2TIzJjSn3ztVjES,Sayaka Yamamoto,α,Larimar,19,257266,False,0.526,0.806,3,-2.786,1,0.0328,0.00428,0.00389,0.112,0.437,142.035,4,j-idol,low
62508,6EuubEs5qOmJdpNhkU47OZ,Lilas Ikuta,スパークル,スパークル,68,213600,False,0.614,0.579,11,-4.937,1,0.038,0.417,0.0,0.0666,0.692,149.831,4,j-pop,high
113239,6FNpOUzRqjj38xjswMnFgc,Planetshakers,Outback Worship Sessions,Nothing Is Impossible,46,250346,False,0.413,0.836,0,-4.867,1,0.0433,0.00202,0.0,0.0842,0.303,143.962,4,world-music,medium
70225,5XhE0o2mWyd597AVl5a8ry,Wu Bai,夏夜晚風 演唱會精選實錄-搖滾·浪漫,被動,52,271866,False,0.528,0.615,0,-11.515,1,0.0365,0.221,0.0,0.197,0.624,136.877,4,mandopop,high
38501,1VUcb7Ik5bYw0SzXBH9rLr,Arctic Monkeys,Live at the Royal Albert Hall,Why'd You Only Call Me When You're High? - Live,53,183680,False,0.371,0.811,4,-7.591,0,0.0577,0.175,0.00012,0.722,0.533,91.691,4,garage,high
32544,02R7UCuWpRgzm8nmpz9hWC,CA7RIEL,EL DISKO,KEYHOLE,38,133734,False,0.778,0.736,0,-2.988,0,0.0643,0.00264,0.0,0.276,0.867,132.982,4,electronic,medium
55249,2uAl7AJJsYCCo2pqcSQI7Y,Jecin George;Pearle Maaney;Srinish Aravind,Chellakuttiye (Avastha Love Song),Chellakuttiye (Avastha Love Song),57,225585,False,0.436,0.544,3,-7.268,0,0.0451,0.543,0.00489,0.17,0.313,169.955,4,indian,high
84838,6wfK1R6FoLpmUA9lk5ll4T,The Beatles,With The Beatles (Remastered),Please Mister Postman - Remastered 2009,56,154160,False,0.552,0.644,9,-9.129,1,0.0372,0.675,0.0,0.36,0.961,122.546,4,psych-rock,high
87195,41tMIgwIR0Ye3ivO6GMr5q,The Avett Brothers,Acoustic Christmas Campfire,Winter In My Heart,0,294960,False,0.409,0.198,9,-10.832,1,0.0293,0.751,0.000712,0.082,0.14,132.782,4,r-n-b,low
108384,6YVT09tAK0fqWqzA61Gr3S,Julio Sosa,Mis Primeros Éxitos,La Última Copa,20,154044,False,0.551,0.246,9,-12.737,0,0.107,0.995,0.797,0.112,0.827,104.767,3,tango,low
10846,0AzIgzIX5fohmjxFSTlUKK,Audio Bullys;Nancy Sinatra,I'm In Love,Shot You Down - Audio Bullys Remix Edit; Feat. Nancy Sinatra,11,393826,False,0.54,0.613,10,-3.885,1,0.0514,0.147,0.459,0.064,0.137,126.194,4,breakbeat,low
44514,1gyee1JuFFiP476LQpRMYU,Chevelle,Wonder What's Next (Expanded Edition),The Red,70,238400,False,0.509,0.843,1,-3.318,0,0.0488,0.000671,0.000803,0.348,0.332,140.055,3,grunge,high
113511,4PVt0PcZyI61mCuwMdvtzy,Chris Tomlin;RaeLynn,Chris Tomlin & Friends,Chase Me Down (feat. RaeLynn),43,208053,False,0.658,0.612,6,-5.132,1,0.0337,0.821,0.0,0.101,0.248,108.08,4,world-music,medium
44229,2V4Bc2I962j7acQj1N0PiQ,Hole,Celebrity Skin,Celebrity Skin,69,162666,False,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,4,grunge,high
10662,16zwNbhZcwf0zO9QOfBcwC,Bassnectar,Cozza Frenzy Remix Pack v.1,Teleport Massive - 2010 Remaster,12,272000,False,0.767,0.678,11,-8.621,0,0.295,0.00546,0.000486,0.193,0.702,90.037,4,breakbeat,low
43147,0KGqMe7q6OdmpdlHtjOmZ5,Trazendo a Arca,Toque no Altar (Ao Vivo),Leva-Me Além - Ao Vivo,39,515533,False,0.308,0.491,2,-7.691,1,0.0286,0.451,4.73e-06,0.816,0.0398,129.508,4,groove,medium
10455,2YpanBJd9Wj2ZxrmcUrTUR,The Prodigy,Experience,Wind It Up,44,273066,False,0.567,0.856,1,-11.321,1,0.0451,0.000805,0.548,0.0795,0.719,145.043,4,breakbeat,medium
103059,2p7i9qV8ciRIwoAVOmakQu,Omar Apollo,The Look - R&B Feels,Endlessly,0,154119,False,0.59,0.687,1,-7.725,1,0.101,0.658,0.00016,0.117,0.843,192.123,4,soul,low
98353,4Ohepr2J1G5LJ8I6fvDq1x,Julie Andrews;Bill Lee,The Sound Of Music (Original Soundtrack Recording),Something Good,45,199360,False,0.252,0.047,1,-24.887,1,0.04,0.953,0.00194,0.116,0.199,77.656,1,show-tunes,medium
22633,0QCw5k0kJA7fN196O53VcW,Gideon,Calloused,Savage,23,166253,False,0.532,0.998,3,-2.17,0,0.132,0.00155,0.0,0.228,0.373,111.709,4,death-metal,low
97221,18T2cbYvvq5pNPRgzpO0eN,Gian & Giovani,Gian e Giovani Cantam João Mineiro e Marciano (Ao Vivo),Caminhão É Assim - Ao Vivo,49,224697,False,0.649,0.647,9,-6.222,1,0.036,0.601,0.0,0.713,0.668,106.024,4,sertanejo,medium
14647,2hRzkdVin3L8xGtAxzmTKe,Cri-Cri,Las 100 Clásicas de Cri Cri Vol. 1,El Venadito - Remasterizado,32,127586,False,0.485,0.186,2,-12.89,1,0.0343,0.859,1.97e-05,0.137,0.344,101.096,4,children,medium
75415,3ljuI1tsU8bD8ud2TyJIBF,Will Ackerman,Meditations,On One Knee,24,241280,False,0.318,0.053,2,-14.644,1,0.0448,0.884,0.493,0.0655,0.161,97.577,3,new-age,low
68114,5Tj1ohvoTgMyk5KyatzI88,J Balvin;Bad Bunny,Feliz Cumpleaños con Perreo,QUE PRETENDES,2,222346,False,0.639,0.791,10,-4.443,0,0.254,0.0275,0.0,0.362,0.933,92.603,4,latino,low
6854,3IZWl7podZdz9FNmacdCtZ,Dödsrit,Dödsrit,Endless Circle,17,361139,False,0.12,0.884,5,-5.194,0,0.0646,2.81e-05,0.824,0.141,0.0642,90.02,4,black-metal,low
