Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,popularity_bin
67670,17FkpdMt5cnKMPqlCVm8yF,Kevin Roldan,Esto me suena a Farra,PPP,0,129332,False,0.798,0.625,4,-6.83,1,0.13,0.383,3.33e-05,0.125,0.774,92.994,4,latin,low
44092,5F2b8ExevODMQehJcEVjz9,Halestorm,Rock Brandneu,Wicked Ways,0,206959,False,0.342,0.991,2,-2.836,1,0.125,2.44e-05,0.049,0.404,0.242,176.359,4,grunge,low
68459,1IzL5F7RfFpeqwKaWrB32I,Kevin Roldan,Reggaeton Mix Perreito,PPP,2,129332,False,0.798,0.625,4,-6.83,1,0.13,0.383,3.33e-05,0.125,0.774,92.994,4,latino,low
7160,1mlzFmwzz7ya1jQ3O3kiZE,Dale Ann Bradley,Catch Tomorrow,Run Rufus Run,26,208346,False,0.594,0.745,11,-6.764,0,0.0378,0.763,7.56e-05,0.148,0.53,106.183,4,bluegrass,medium
95137,4MC4HjA8ygk26rlml0Tmpu,La Sonora Dinamita;El Bebeto,Cumbias De Verano Best Hits,La Parabólica,39,204146,False,0.846,0.814,7,-4.271,1,0.045,0.309,0.00156,0.0534,0.443,103.025,4,salsa,medium
41763,4rQ8mMIhnhzuP96qyNeZRs,Adoo;Hamodii;Sam-E,Getaway Göteborg,Får Flipp,23,261977,False,0.741,0.81,11,-7.777,1,0.271,0.0484,0.0,0.0512,0.81,89.03,4,goth,low
52991,2Qhz9oCFHdJ9IxUqvO6moe,Hank Williams,The Complete Hank Williams,We Live In Two Different Worlds,10,117026,False,0.542,0.226,4,-15.552,1,0.0273,0.93,1.03e-05,0.209,0.657,133.783,4,honky-tonk,low
79138,3Cx4yrFaX8CeHwBMReOWXI,Billy Joel,Storm Front,We Didn't Start the Fire,76,287733,False,0.712,0.967,7,-5.206,1,0.047,0.0771,0.0,0.356,0.895,145.024,4,piano,very_high
13638,1Jmt5uPinNWz8l2AsMpAMq,Frankie Knuckles,Defected Presents House Masters - Jazz-N-Groove,Bac N Da Day - Clepto's Mix,8,415120,False,0.711,0.95,1,-5.916,0,0.0486,0.00053,0.4,0.0755,0.972,126.984,4,chicago-house,low
98766,5vFUsmCcbli5p2ykAUQMcc,Mark Seibert;Milica Jovanović,Schikaneder - Original Cast Album Wien,Träum gross,21,177232,False,0.363,0.355,2,-10.808,1,0.0363,0.775,0.0,0.126,0.557,184.058,3,show-tunes,low
86968,4TmmjNjDVhTZ3pkanD3y7W,Autoramas,Nada Pode Parar os Autoramas,Você Sabe,38,145893,False,0.313,0.953,11,-2.951,0,0.215,1.62e-05,8.44e-06,0.191,0.813,156.419,4,punk,medium
79145,2n0U2OG5d6TuW5mKx7YrC0,Regina Spektor,Far,Two Birds,73,195840,False,0.546,0.5,0,-8.881,1,0.0379,0.802,0.00108,0.107,0.449,150.92,4,piano,high
22479,2KPcujYDaukvtfRR0Zmu0O,Slayer,South Of Heaven,Mandatory Suicide,50,245133,False,0.367,0.997,8,-2.911,1,0.106,0.000499,0.694,0.0928,0.269,148.005,4,death-metal,high
66788,0fg2w2rIygvuqXYxltzgyF,Christopher Zondaflex Tyler,Mr Chris' Holiday Mixtape,Santa Shuffle,8,162012,False,0.923,0.377,1,-17.9,1,0.259,0.0861,0.0,0.0479,0.955,119.989,4,kids,low
105179,7wBChE1IqPBNbEEq3SGtnW,Dusty Decks,Floweret,Floweret,41,141567,False,0.548,0.333,6,-11.856,1,0.045,0.966,0.945,0.114,0.199,77.021,4,study,medium
32903,5LCaw96SsbpHAQFAcbFwbI,Boombox Cartel;Nessly,Moon Love,Moon Love,51,243692,False,0.706,0.935,6,-2.418,1,0.0565,0.0168,4.62e-05,0.106,0.214,130.001,4,electronic,high
